epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.798,1.74934,8.65329,0.89159,0.40584,0.3245,0.32899,0.16681,1.41471,2.06579,0.82719,0.00036684,0.00036684,0.00036684
2,223.146,1.70477,1.62453,0.84694,0.7543,0.31987,0.35961,0.18479,1.42001,1.23191,0.83005,0.000729875,0.000729875,0.000729875
3,324.007,1.62547,1.27287,0.8423,0.75585,0.40358,0.39997,0.21293,1.43235,1.10158,0.83004,0.00108558,0.00108558,0.00108558
4,431.856,1.58961,1.15525,0.83992,0.88399,0.38994,0.45782,0.2578,1.30942,0.88618,0.81725,0.001078,0.001078,0.001078
5,533.269,1.52191,1.03649,0.82351,0.51095,0.48538,0.52201,0.30117,1.31008,0.8427,0.82393,0.001067,0.001067,0.001067
6,633.221,1.55797,1.05464,0.82049,0.496,0.49033,0.48339,0.28313,1.25701,0.83131,0.81503,0.00105601,0.00105601,0.00105601
7,733.321,1.46815,0.93151,0.80964,0.44287,0.56763,0.50194,0.2925,1.27729,0.76612,0.81151,0.00104501,0.00104501,0.00104501
8,832.944,1.51264,0.95298,0.81604,0.4447,0.55305,0.52193,0.31702,1.22681,0.75767,0.80819,0.00103401,0.00103401,0.00103401
9,937.343,1.45685,0.89822,0.81422,0.48914,0.5377,0.5194,0.29792,1.22781,0.82057,0.81411,0.00102301,0.00102301,0.00102301
10,1037.13,1.43496,0.8584,0.81276,0.50523,0.5451,0.533,0.33038,1.18724,0.73079,0.80832,0.00101201,0.00101201,0.00101201
11,1136.67,1.41866,0.84689,0.79427,0.73732,0.53295,0.58452,0.37102,1.17331,0.72692,0.79605,0.00100101,0.00100101,0.00100101
12,1240.77,1.34206,0.78571,0.8074,0.62045,0.57953,0.58166,0.35698,1.16384,0.68296,0.80456,0.000990012,0.000990012,0.000990012
13,1341.51,1.40005,0.85199,0.79893,0.48098,0.56358,0.54407,0.33794,1.18725,0.79435,0.80346,0.000979013,0.000979013,0.000979013
14,1445.33,1.43629,0.86359,0.80339,0.81588,0.48342,0.51246,0.31889,1.14053,0.76176,0.79806,0.000968014,0.000968014,0.000968014
15,1546.54,1.37472,0.78617,0.80813,0.67276,0.53017,0.58261,0.3937,1.11738,0.69606,0.79995,0.000957015,0.000957015,0.000957015
16,1649.5,1.35462,0.78181,0.79214,0.60688,0.56715,0.59994,0.39059,1.10639,0.6541,0.80005,0.000946016,0.000946016,0.000946016
17,1749.21,1.34903,0.77356,0.7939,0.68112,0.53191,0.59151,0.37359,1.13463,0.68185,0.80282,0.000935018,0.000935018,0.000935018
18,1848.89,1.35045,0.7587,0.79315,0.68677,0.60017,0.64448,0.41661,1.10162,0.62398,0.79649,0.000924019,0.000924019,0.000924019
19,1949.95,1.3388,0.72609,0.79902,0.80866,0.59077,0.65995,0.43,1.15432,0.63264,0.80319,0.00091302,0.00091302,0.00091302
20,2049.7,1.28124,0.71805,0.79554,0.6524,0.54961,0.6136,0.38281,1.14302,0.6695,0.80027,0.000902021,0.000902021,0.000902021
21,2152.53,1.34923,0.72574,0.79828,0.60566,0.65421,0.59855,0.37889,1.10466,0.65085,0.79702,0.000891022,0.000891022,0.000891022
22,2252.03,1.26491,0.6962,0.79589,0.80027,0.55018,0.6278,0.41116,1.05382,0.64586,0.79718,0.000880023,0.000880023,0.000880023
23,2351.85,1.32209,0.7285,0.78804,0.84374,0.59874,0.66916,0.43828,1.04286,0.61232,0.79225,0.000869024,0.000869024,0.000869024
24,2454.51,1.24907,0.6721,0.78683,0.62624,0.62358,0.65994,0.44162,1.08009,0.61107,0.79677,0.000858025,0.000858025,0.000858025
25,2554.61,1.29703,0.68029,0.79108,0.78988,0.53792,0.64456,0.41621,1.10349,0.62438,0.80047,0.000847026,0.000847026,0.000847026
26,2654.2,1.31785,0.70091,0.79234,0.73018,0.58389,0.64313,0.42011,1.07555,0.59774,0.7951,0.000836027,0.000836027,0.000836027
27,2753.92,1.28292,0.67256,0.79618,0.69536,0.63937,0.65718,0.43302,1.0563,0.58306,0.79452,0.000825029,0.000825029,0.000825029
28,2854.23,1.25956,0.67143,0.80261,0.63,0.63065,0.66922,0.43139,1.12492,0.61074,0.79858,0.00081403,0.00081403,0.00081403
29,2953.99,1.23691,0.66804,0.78838,0.84187,0.5825,0.68214,0.44833,1.05457,0.58206,0.79337,0.000803031,0.000803031,0.000803031
30,3056.78,1.26864,0.67487,0.78506,0.61972,0.69009,0.66024,0.44569,1.03435,0.56572,0.79165,0.000792032,0.000792032,0.000792032
31,3156.4,1.28643,0.64843,0.79273,0.744,0.65685,0.68439,0.44259,1.06389,0.56626,0.79168,0.000781033,0.000781033,0.000781033
32,3260.14,1.2415,0.62711,0.78414,0.74355,0.66256,0.71526,0.47516,1.06839,0.5596,0.79128,0.000770034,0.000770034,0.000770034
33,3359.73,1.24054,0.64035,0.78455,0.71402,0.7012,0.73381,0.49772,1.05415,0.54273,0.79508,0.000759035,0.000759035,0.000759035
34,3459.61,1.19208,0.59923,0.78837,0.64083,0.68663,0.6661,0.43238,1.07495,0.60607,0.79513,0.000748036,0.000748036,0.000748036
